"Data","Abertura","Fechamento","Variacao","Minimo","Maximo"
2022-03-14,109.928,112.299,-1.6,109.717,112.299
2022-03-11,111.713,114.627,-1.72,111.332,114.627
2022-03-10,113.663,113.939,-0.21,111.889,113.939
2022-03-09,113.9,114.051,2.43,111.207,114.051
2022-03-08,111.203,112.39,-0.35,110.969,112.39
2022-03-07,111.593,114.529,-2.52,111.14,114.529
2022-03-04,114.474,115.166,-0.6,113.389,115.166
2022-03-03,115.166,115.948,-0.01,115.01,115.948
2022-03-02,115.174,115.429,1.8,113.143,115.429
2022-02-25,113.142,113.142,1.39,110.673,113.142
2022-02-24,112.001,111.592,-0.37,109.125,112.001
2022-02-23,112.892,112.008,-0.78,111.748,113.721
2022-02-22,111.727,112.892,1.04,111.727,113.315
2022-02-21,112.88,111.725,-1.02,111.608,113.405
2022-02-18,113.534,112.88,-0.57,112.701,114.213
2022-02-17,115.181,113.528,-1.43,113.389,115.214
2022-02-16,114.83,115.181,0.31,114.816,115.734
2022-02-15,113.905,114.828,0.82,113.882,114.828
2022-02-14,113.643,113.899,0.29,113.358,114.167
2022-02-11,113.368,113.572,0.18,113.128,114.899
2022-02-10,112.462,113.368,0.81,112.163,113.812
2022-02-09,112.233,112.461,0.2,111.71,113.163
2022-02-08,111.995,112.234,0.21,110.943,112.251
2022-02-07,112.247,111.996,-0.22,111.49,112.517
2022-02-04,111.696,112.245,0.49,110.321,112.415
2022-02-03,111.897,111.696,-0.18,111.225,112.502
2022-02-02,113.228,111.894,-1.18,111.645,113.666
2022-02-01,112.143,113.228,0.97,112.135,113.302
2022-01-31,111.91,112.144,0.21,111.195,112.678
2022-01-28,112.611,111.91,-0.62,111.407,112.969
2022-01-27,111.303,112.612,1.19,111.303,113.057
2022-01-26,110.207,111.289,0.98,110.204,112.695
2022-01-25,107.935,110.204,2.1,107.185,110.711
2022-01-24,108.941,107.937,-0.92,106.624,108.948
2022-01-21,109.097,108.942,-0.15,108.368,109.786
2022-01-20,108.015,109.102,1.01,108.015,109.873
2022-01-19,106.67,108.013,1.26,106.669,108.602
2022-01-18,106.369,106.668,0.28,105.786,107.013
2022-01-17,106.927,106.374,-0.52,106.097,106.928
2022-01-14,105.53,106.928,1.33,105.028,107.062
2022-01-13,105.686,105.53,-0.15,104.974,106.251
2022-01-12,103.779,105.686,1.84,103.771,105.869
2022-01-11,101.946,103.779,1.8,101.918,103.78
2022-01-10,102.719,101.945,-0.75,101.038,102.719
2022-01-07,101.561,102.719,1.14,101.104,102.719
2022-01-06,101.006,101.561,0.55,101,102.235
2022-01-05,103.514,101.006,-2.42,100.85,103.514
2022-01-04,103.922,103.514,-0.39,103.096,104.276
2022-01-03,104.823,103.922,-0.86,103.413,106.125
2021-12-30,104.106,104.822,0.69,104.106,105.269
2021-12-29,104.863,104.107,-0.72,103.851,105.19
2021-12-28,105.555,104.864,-0.65,104.503,105.652
2021-12-27,104.892,105.554,0.63,104.798,105.694
2021-12-23,105.251,104.891,-0.33,104.637,105.453
2021-12-22,105.499,105.244,-0.24,104.386,105.711
2021-12-21,105.02,105.5,0.46,105.02,105.906
2021-12-20,107.171,105.02,-2.03,104.358,107.171
2021-12-17,108.324,107.201,-1.04,106.518,108.324
2021-12-16,107.433,108.326,0.83,107.433,109.034
2021-12-15,106.763,107.431,0.63,105.697,107.603
2021-12-14,107.387,106.76,-0.58,106.445,109.148
2021-12-13,107.758,107.383,-0.35,107.383,109.493
2021-12-10,106.296,107.758,1.38,106.296,108.275
2021-12-09,108.095,106.291,-1.67,105.89,108.095
2021-12-08,107.558,108.096,0.5,107.309,108.521
2021-12-07,106.868,107.558,0.65,106.868,108.655
2021-12-06,105.07,106.859,1.7,105.07,107.498
2021-12-03,104.467,105.07,0.58,104.09,106.814
2021-12-02,100.785,104.466,3.66,100.785,104.466
2021-12-01,101.916,100.775,-1.12,100.727,104.087
2021-11-30,102.814,101.915,-0.87,100.075,103.066
2021-11-29,102.227,102.814,0.58,102.226,104.149
2021-11-26,105.81,102.224,-3.39,101.495,105.81
2021-11-25,104.514,105.811,1.24,104.514,106.4
2021-11-24,103.652,104.514,0.83,102.464,105.041
2021-11-23,102.124,103.654,1.5,101.736,103.841
2021-11-22,103.036,102.122,-0.89,102.122,104.613
2021-11-19,102.426,103.035,0.59,102.143,103.975
2021-11-18,102.948,102.426,-0.51,102.014,103.757
2021-11-17,104.405,102.948,-1.39,102.551,105.535
2021-11-16,106.336,104.404,-1.82,104.113,106.971
2021-11-12,107.576,106.335,-1.17,105.842,107.915
2021-11-11,105.988,107.595,1.54,105.988,108.669
2021-11-10,105.535,105.968,0.41,105.14,107.407
2021-11-09,104.783,105.535,0.72,104.783,106.674
2021-11-08,104.824,104.781,-0.04,104.182,105.679
2021-11-05,103.412,104.824,1.37,103.412,105.555
2021-11-04,105.617,103.412,-2.09,102.835,105.627
2021-11-03,105.547,105.617,0.06,104.205,106.754
2021-11-01,103.514,105.551,1.98,103.514,106.136
2021-10-29,105.707,103.501,-2.09,103.43,105.954
2021-10-28,106.369,105.705,-0.62,105.282,107.21
2021-10-27,106.433,106.363,-0.05,106.045,108.224
2021-10-26,108.713,106.42,-2.11,106.321,108.713
2021-10-25,106.298,108.715,2.28,106.296,109.372
2021-10-22,107.714,106.296,-1.34,102.854,107.749
2021-10-21,110.767,107.735,-2.75,105.714,110.767
2021-10-20,110.677,110.786,0.1,110.176,112.023
2021-10-19,114.422,110.673,-3.28,109.947,114.422
2021-10-18,114.647,114.428,-0.19,112.841,114.927
2021-10-15,113.189,114.648,1.29,113.049,114.776
2021-10-14,113.457,113.185,-0.24,112.708,113.881
2021-10-13,112.18,113.456,1.14,111.807,114.159
2021-10-11,112.834,112.18,-0.58,112.052,113.982
2021-10-08,110.586,112.833,2.03,110.586,114.172
2021-10-07,110.563,110.585,0.02,110.563,111.522
2021-10-06,110.454,110.56,0.09,108.18,110.614
2021-10-05,110.397,110.458,0.06,110.087,111.691
2021-10-04,112.9,110.393,-2.22,109.979,112.9
2021-10-01,110.98,112.9,1.73,110.98,113.02
2021-09-30,111.117,110.979,-0.11,110.743,112.371
2021-09-29,110.125,111.107,0.89,110.125,112.028
2021-09-28,113.584,110.124,-3.05,109.981,113.584
2021-09-27,113.283,113.583,0.27,112.36,114.432
2021-09-24,114.062,113.283,-0.69,112.505,114.062
2021-09-23,112.282,114.064,1.59,112.281,114.33
2021-09-22,110.252,112.282,1.84,110.251,113.321
2021-09-21,108.859,110.25,1.29,108.859,110.923
2021-09-20,111.435,108.844,-2.33,107.52,111.435
2021-09-17,113.794,111.439,-2.07,111.157,113.794
2021-09-16,115.062,113.794,-1.1,113.395,115.062
2021-09-15,116.191,115.063,-0.96,114.741,116.312
2021-09-14,116.405,116.181,-0.19,115.809,117.27
2021-09-13,114.3,116.404,1.85,114.3,117.046
2021-09-10,115.37,114.286,-0.93,114.286,116.896
2021-09-09,113.413,115.361,1.72,112.435,116.354
2021-09-08,117.866,113.413,-3.78,113.172,117.866
2021-09-06,116.926,117.869,0.8,116.156,117.981
2021-09-03,116.679,116.933,0.22,115.583,117.396
2021-09-02,119.394,116.677,-2.28,116.534,119.397
2021-09-01,118.793,119.396,0.52,118.067,119.942
2021-08-31,119.738,118.781,-0.8,117.911,120.157
2021-08-30,120.677,119.74,-0.78,119.354,120.684
2021-08-27,118.725,120.678,1.65,118.721,120.678
2021-08-26,120.817,118.724,-1.73,118.719,120.833
2021-08-25,120.21,120.818,0.5,119.226,120.818
2021-08-24,117.474,120.211,2.33,117.474,120.463
2021-08-23,118.053,117.472,-0.49,117.062,118.445
2021-08-20,117.163,118.053,0.76,116.04,118.308
2021-08-19,116.641,117.165,0.45,114.801,117.453
2021-08-18,117.904,116.643,-1.07,116.489,118.739
2021-08-17,119.179,117.904,-1.07,116.248,119.179
2021-08-16,121.191,119.18,-1.66,118.684,121.191
2021-08-13,120.701,121.194,0.41,120.045,121.275
2021-08-12,122.056,120.701,-1.11,120.534,122.095
2021-08-11,122.203,122.056,-0.12,120.827,122.756
2021-08-10,123.021,122.202,-0.66,122.061,123.513
2021-08-09,122.809,123.019,0.17,122.258,123.597
2021-08-06,121.633,122.81,0.97,121.568,123.287
2021-08-05,121.801,121.633,-0.14,121.128,123.541
2021-08-04,123.577,121.801,-1.44,121.072,123.587
2021-08-03,122.516,123.577,0.87,120.807,123.765
2021-08-02,121.803,122.516,0.59,121.797,124.536
2021-07-30,125.672,121.801,-3.08,121.748,125.673
2021-07-29,126.285,125.675,-0.48,124.917,126.476
2021-07-28,124.615,126.286,1.34,124.542,126.712
2021-07-27,126.004,124.612,-1.1,123.67,126.026
2021-07-26,125.058,126.004,0.76,125.006,126.214
2021-07-23,126.14,125.053,-0.87,124.422,126.204
2021-07-22,125.93,126.147,0.17,125.416,126.428
2021-07-21,125.404,125.929,0.42,125.247,126.112
2021-07-20,124.395,125.401,0.81,123.631,125.631
2021-07-19,125.958,124.395,-1.24,123.317,125.958
2021-07-16,127.468,125.96,-1.18,125.808,128.01
2021-07-15,128.407,127.468,-0.73,126.922,128.976
2021-07-14,128.169,128.407,0.19,128.085,129.62
2021-07-13,127.594,128.168,0.45,126.441,128.42
2021-07-12,125.428,127.594,1.73,125.428,127.782
2021-07-08,127.013,125.428,-1.25,124.31,127.013
2021-07-07,125.096,127.019,1.54,125.094,127.249
2021-07-06,126.919,125.095,-1.44,124.866,126.919
2021-07-05,127.622,126.92,-0.55,126.531,127.633
2021-07-02,125.667,127.622,1.56,125.667,127.672
2021-07-01,126.802,125.666,-0.9,124.994,127.204
2021-06-30,127.323,126.802,-0.41,126.199,127.323
2021-06-29,127.429,127.327,-0.08,126.184,127.507
2021-06-28,127.255,127.429,0.14,126.629,128.067
2021-06-25,129.513,127.256,-1.74,126.697,129.748
2021-06-24,128.433,129.514,0.85,128.428,129.541
2021-06-23,128.769,128.428,-0.26,128.182,129.901
2021-06-22,129.242,128.767,-0.38,127.803,129.259
2021-06-21,128.405,129.265,0.67,128.048,129.412
2021-06-18,128.05,128.405,0.27,127.595,128.796
2021-06-17,129.259,128.057,-0.93,127.576,129.919
2021-06-16,130.091,129.259,-0.64,128.345,130.283
